Are you enrolled in Trinity College of Arts and Sciences or the Pratt School of Engineering?,Are you of Hispanic/Latino/Spanish origin?,How would you best describe yourself?,What is your gender?,What is your sexual orientation?,Are you a first-generation college student?,Are you a recruited varsity athlete?,Are you an international student?,Which state do you live in (please enter the postal abbreviation)?,What is the ZIP Code of your home address?,What is your home city?,What is your home country?,What type of community are you from?,What do you estimate is your immediate family's total annual income?,Do you receive financial aid from Duke?,Which major are you most inclined towards?,Which of the following most influenced your decision to attend Duke?,How interested are you in Greek life at Duke?,How interested are you in non-Greek selective living groups at Duke?,Are you more or less likely to rush if the recruitment process were to be online?,What is your primary motivation for wanting to rush?,Which of the following best describes your living situation this semester?,What was your primary reason for staying home?,Are you planning to come to campus/Durham in the spring?,What are your plans for the spring?,Did you receive additional COVID-19 relief funds from Duke? (in addition to financial aid package),What do you think of the amount received?,Have you tested positive for COVID-19 (while on campus)?,Has someone you know tested positive for COVID-19 (while on campus)?,Share your opinions on... - The Duke Compact,Share your opinions on... - Duke's enforcement of the Duke Compact,Share your opinions on... - First-year fall housing arrangements,How many in-person classes are you in this semester?,Are you in a FOCUS?,How many of your FOCUS classes are in-person (not including the FOCUS “dinner”)?,Have you been able to find community this year?,Where have you primarily found community?,How much do you think the pandemic has negatively affected your ability to find community?,How likely are you to abide by the following elements of the Duke Compact: - Wearing a mask or face covering in all public spaces,How likely are you to abide by the following elements of the Duke Compact: - Monitoring and reporting symptoms through the SymMon app,How likely are you to abide by the following elements of the Duke Compact: - Avoiding large gatherings of 10+ people,How likely are you to abide by the following elements of the Duke Compact: - Engaging in physical distancing,How likely are your peers to abide by the following elements of the Duke Compact: - Wearing a mask or face covering in all public spaces,How likely are your peers to abide by the following elements of the Duke Compact: - Monitoring and reporting symptoms through the SymMon app,How likely are your peers to abide by the following elements of the Duke Compact: - Avoiding large gatherings of 10+ people,How likely are your peers to abide by the following elements of the Duke Compact: - Engaging in physical distancing,How likely are you to report violations to the Duke Compact?,Were your summer and/or travel plans affected by the pandemic?,Has any member of your household lost their job or been furloughed due to the pandemic?,Have any of your family members or close contacts died from COVID-19?,What was your high school GPA (scaled on a 0 to 4.00 scale)?,Did you take the SAT or ACT?,What was your SAT combined score?,What was your ACT composite score?,What type of secondary school did you attend?,Did you hire a private college admissions counselor during the admissions process?,How many colleges and universities did you apply to?,How many colleges and universities were you accepted to?,Did you apply to Duke via the Early Decision process?,Were you accepted off the waitlist from Duke?,Was Duke your first choice?,Did any of your parents or siblings attend Duke?,Which best describes your religion?,How religious would you say you are?,How would you describe your political beliefs?,Did you / are you planning to vote in the 2020 election?,Who did you vote for / who are you planning to vote for?,Did you / are you planning to vote at your home or in Durham?,Did you vote in the primary election?,Have you done any of the following?,Have you received treatment for your mental health before?,Are you currently receiving treatment for your mental health?,In which format do you read The Chronicle?
Pratt,No,White,Cis Woman,Heterosexual,No,No,No,TN,37069,,,Suburban,"$125,000-$250,000",No,Mechanical Engineering,Student life / campus culture,Slightly interested,Slightly interested,Less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,Yes,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,1,No,,Somewhat agree,Dorm,A lot,Very likely,Moderately Likely,Moderately Likely,Moderately unlikely,Moderately Likely,Very likely,Moderately unlikely,Moderately unlikely,Moderately unlikely,Yes,Yes — lost their job,No,3.99,"SAT,ACT",1540,36,Private (parochial),No,13,9,No,No,No,No,Protestant,Religious,Somewhat liberal,Yes,Joe Biden,Durham,Yes,,No,,Online
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,CA,91001,,,Suburban,"$250,000-$500,000",No,Public Policy Studies,Student life / campus culture,Extremely interested,Moderately interested,Less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,2,No,,Somewhat agree,Dorm,A lot,Moderately Likely,Moderately Likely,Very unlikely,Moderately unlikely,Moderately Likely,Neither likely or unlikely,Very unlikely,Very unlikely,Very unlikely,Yes,No,No,3.8,SAT,1510,,Private (non-denominational),No,11,7,Yes,No,Yes,Yes,Agnostic,Not at all religious,Somewhat liberal,Yes,Joe Biden,Durham,Ineligible to vote,"Drank alcohol,Used drugs,Obtained a fake ID",No,,Print and Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,NY,11768,,,Suburban,"$250,000-$500,000",No,Psychology,Student life / campus culture,Moderately interested,Extremely interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,Yes,No opinion,Strongly unfavorable,Strongly unfavorable,1,No,,Somewhat agree,Dorm,A great deal,Very likely,Very likely,Moderately Likely,Moderately unlikely,Very likely,Very likely,Neither likely or unlikely,Moderately unlikely,Very unlikely,Yes,No,No,4,SAT,1580,,Public (non-charter),No,2,1,Yes,No,Yes,No,Agnostic,Not at all religious,Somewhat liberal,Yes,Joe Biden,Durham,Ineligible to vote,Drank alcohol,No,,Online
Trinity,No,Asian,Cis Man,Heterosexual,No,No,No,VA,23059,,,Suburban,"$250,000-$500,000",No,Economics,"Duke’s ""brand name""",Slightly interested,Moderately interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Strongly favorable,Strongly favorable,2,Yes,2,Somewhat agree,Orientation Week,A moderate amount,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Neither likely nor unlikely,Yes,No,No,4,SAT,1560,,Public (non-charter),No,11,6,No,No,No,No,Agnostic,Not at all religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Yes,,No,,Online
Trinity,No,"White,Black or African American",Cis Woman,Heterosexual,No,No,No,MN,56258,,,Urban,"$80,000-$125,000",Yes,Public Policy Studies,Academics and interdisciplinary curriculum,Slightly interested,Not interested at all,Much less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Somewhat favorable,3,Yes,,Somewhat agree,Other,A moderate amount,Moderately Likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Very likely,Moderately Likely,Moderately Likely,Very unlikely,Yes,No,No,4,"SAT,ACT",1440,31,Private (parochial),No,10,7,No,No,Yes,No,Other,Somewhat religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),No,"Drank alcohol,Used drugs,Had sex",No,,Neither
Pratt,No,Asian,Cis Man,Heterosexual,No,No,No,NC,92620,,,Suburban,"$125,000-$250,000",Yes,Electrical and Computer Engineering,Academics and interdisciplinary curriculum,Slightly interested,Very interested,Neither more or less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Strongly favorable,No opinion,1,No,,Strongly disagree,,A great deal,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Moderately unlikely,Very unlikely,Moderately unlikely,Yes,No,No,4,SAT,1570,,Public (non-charter),Yes,21,12,No,No,No,No,Agnostic,Not very religious,Somewhat liberal,Yes,Joe Biden,Durham,Yes,Drank alcohol,Prefer not to say,,Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,CA,94954,,,Suburban,"$250,000-$500,000",No,Undecided,Academics and interdisciplinary curriculum,Moderately interested,Very interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat favorable,Somewhat favorable,1,No,,Somewhat agree,Orientation Week,A great deal,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Neither likely nor unlikely,Yes,No,No,4,ACT,,35,Public (non-charter),No,1,1,Yes,No,Yes,No,Atheist,Not at all religious,Somewhat conservative,Yes,Joe Biden,Durham,Ineligible to vote,,No,,Online
Trinity,No,White,Cis Man,Heterosexual,No,No,No,NC,28732,,,Suburban,"$125,000-$250,000",Yes,Computer Science,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Strongly favorable,2,No,,Somewhat agree,Orientation Week,A lot,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Moderately Likely,Very likely,Moderately Likely,Neither likely nor unlikely,Yes,No,No,4,"SAT,ACT",1550,36,Public (non-charter),No,8,6,No,No,Yes,No,Agnostic,Not very religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Yes,Had sex,No,,Online
Pratt,No,White,Cis Man,Heterosexual,Yes,No,Yes,,,London,United Kingdom,Urban,"$40,000-$80,000",Yes,Civil Engineering,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Somewhat favorable,1,No,,Somewhat disagree,,A lot,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Moderately unlikely,Moderately unlikely,Moderately unlikely,No,No,No,,ACT,,32,Public (non-charter),No,5,3,Yes,No,Yes,No,Atheist,Not very religious,Somewhat liberal,Ineligible to vote,,,Ineligible to vote,"Drank alcohol,Used drugs,Obtained a fake ID",No,,Print and Online
Trinity,Yes,White,Cis Woman,Heterosexual,No,No,No,CA,92130,,,Suburban,"Above $500,000",No,Economics,Financial aid award / scholarship,Moderately interested,Extremely interested,Neither more or less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Strongly unfavorable,Somewhat favorable,1,No,,Somewhat agree,Dorm,A little,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Very likely,Moderately Likely,Moderately Likely,Moderately unlikely,Yes,No,No,4,ACT,,35,Public (non-charter),Yes,11,10,No,No,No,No,Agnostic,Not at all religious,Somewhat liberal,Yes,Joe Biden,Durham,Ineligible to vote,"Drank alcohol,Used drugs,Had sex",No,,Print and Online
